Timestamp,Channel1,Channel2,Channel3,Channel4,Channel5,Channel6
20251007_214601,2614,2464,2433,2447,2442,2482
20251007_214601,2468,2440,2395,2431,2426,2462
20251007_214601,2088,2268,2266,2245,2301,2293
20251007_214601,2060,2464,2385,2396,2418,2453
20251007_214601,2540,2376,2323,2282,2282,2422
20251007_214601,2048,2320,2329,2360,2407,2286
20251007_214601,2260,2464,2351,2362,2406,2444
20251007_214601,2584,2256,2289,2248,2251,2270
20251007_214601,2634,2301,2271,2225,2269,2285
20251007_214601,2120,2465,2466,2456,2421,2439
20251007_214601,1958,2258,2366,2301,2291,2302
20251007_214601,2367,2272,2248,2213,2322,2343
20251007_214601,2620,2417,2255,2269,2342,2356
20251007_214601,2422,2360,2332,2274,2411,2427
20251007_214601,2097,2488,2477,2470,2408,2432
20251007_214601,2115,2477,2479,2486,2437,2426
20251007_214601,2575,2444,2449,2466,2344,2380
20251007_214601,2715,2386,2328,2292,2268,2431
20251007_214601,2226,2298,2307,2339,2368,2263
20251007_214601,2040,2314,2323,2333,2389,2422
20251007_214601,2272,2344,2253,2232,2284,2298
20251007_214601,2605,2264,2262,2260,2258,2233
20251007_214601,2495,2473,2444,2412,2336,2468
20251007_214601,2664,2352,2354,2367,2262,2298
20251007_214601,2364,2281,2265,2243,2301,2300
20251007_214601,2574,2438,2382,2364,2319,2465
20251007_214601,2664,2433,2445,2444,2356,2387
20251007_214601,2172,2380,2356,2297,2268,2287
20251007_214601,1972,2302,2469,2423,2383,2383
20251007_214601,2324,2360,2327,2280,2260,2269
20251007_214601,2604,2242,2375,2330,2308,2290
20251007_214601,2476,2385,2395,2415,2309,2335
20251007_214601,2079,2292,2430,2400,2342,2344
20251007_214601,2033,2280,2268,2258,2281,2291
20251007_214601,2530,2360,2326,2269,2393,2422
20251007_214601,2701,2284,2256,2213,2266,2323
20251007_214601,2328,2382,2325,2292,2421,2442
20251007_214601,2066,2312,2261,2240,2243,2366
20251007_214601,2154,2483,2331,2340,2381,2434
20251007_214601,1976,2460,2391,2395,2420,2456
20251007_214601,2351,2324,2270,2236,2269,2301
20251007_214601,2093,2356,2449,2440,2385,2392
20251007_214601,2084,2361,2321,2286,2274,2401
20251007_214601,2566,2464,2426,2392,2343,2475
20251007_214601,2698,2381,2397,2404,2305,2341
20251007_214601,2223,2313,2277,2252,2259,2376
20251007_214601,2057,2361,2371,2398,2288,2299
20251007_214601,2271,2258,2322,2292,2256,2265
20251007_214601,2589,2219,2263,2233,2232,2235
20251007_214601,2556,2270,2251,2221,2283,2299
20251007_214601,2119,2329,2302,2260,2285,2306
20251007_214601,1994,2304,2343,2351,2248,2268
20251007_214601,2478,2250,2396,2339,2298,2305
20251007_214601,2649,2383,2395,2404,2418,2333
20251007_214601,2565,2280,2300,2300,2364,2251
20251007_214601,2668,2284,2248,2234,2285,2311
20251007_214601,2174,2392,2385,2381,2383,2404
20251007_214601,2308,2304,2274,2236,2339,2353
20251007_214601,2618,2452,2340,2362,2394,2435
20251007_214601,2485,2320,2422,2409,2347,2363
20251007_214601,2106,2400,2257,2256,2302,2330
20251007_214601,2019,2448,2448,2444,2393,2433
20251007_214601,2528,2293,2226,2200,2232,2248
20251007_214601,2709,2276,2254,2216,2273,2303
20251007_214601,2347,2329,2353,2370,2409,2295
20251007_214601,2086,2356,2373,2401,2268,2307
20251007_214601,2216,2252,2216,2232,2290,2330
20251007_214601,2582,2456,2468,2441,2391,2443
20251007_214601,2649,2420,2272,2264,2347,2377
20251007_214601,2138,2336,2472,2412,2369,2393
20251007_214601,1978,2248,2375,2320,2277,2300
20251007_214601,2092,2411,2373,2361,2392,2420
20251007_214601,2540,2264,2233,2220,2284,2287
20251007_214601,2702,2424,2384,2337,2431,2461
20251007_214601,2575,2360,2314,2284,2395,2412
20251007_214601,2122,2328,2263,2250,2254,2285
20251007_214601,1990,2476,2459,2419,2375,2480
20251007_214601,2479,2320,2465,2421,2365,2385
20251007_214601,2376,2288,2259,2239,2316,2325
20251007_214601,2050,2316,2260,2225,2241,2371
20251007_214601,2142,2366,2344,2280,2256,2443
20251007_214601,2572,2354,2305,2257,2409,2408
20251007_214601,2660,2264,2252,2244,2319,2277
20251007_214601,2175,2436,2446,2448,2344,2379
20251007_214601,2018,2389,2338,2288,2276,2259
20251007_214601,2327,2426,2439,2458,2444,2353
20251007_214601,2631,2314,2212,2208,2243,2256
20251007_214601,2479,2345,2311,2241,2265,2415
20251007_214601,2728,2464,2445,2410,2450,2472
20251007_214601,2332,2268,2250,2250,2293,2301
20251007_214601,2170,2257,2238,2267,2331,2260
20251007_214601,2562,2449,2423,2377,2325,2480
20251007_214601,2658,2257,2285,2271,2342,2252
20251007_214601,2159,2312,2437,2413,2351,2357
20251007_214601,1990,2340,2361,2380,2272,2300
20251007_214601,2364,2419,2262,2252,2320,2379
20251007_214601,2618,2340,2299,2264,2266,2402
20251007_214601,2458,2308,2427,2388,2360,2361
20251007_214601,2078,2385,2342,2304,2282,2437
20251007_214601,2056,2468,2443,2408,2444,2472
20251007_214601,2585,2469,2463,2440,2391,2448
20251007_214601,2701,2449,2425,2437,2401,2396
20251007_214601,2302,2476,2457,2453,2385,2404
20251007_214601,2070,2460,2448,2398,2357,2477
20251007_214601,2260,2405,2349,2307,2423,2456
20251007_214601,2607,2412,2245,2232,2315,2359
20251007_214601,2614,2288,2258,2228,2352,2361
20251007_214601,2111,2376,2235,2224,2279,2322
20251007_214601,1962,2260,2334,2316,2275,2281
20251007_214601,2466,2468,2448,2416,2425,2444
20251007_214601,2628,2270,2387,2353,2307,2308
20251007_214601,2399,2420,2442,2427,2427,2454
20251007_214601,2080,2452,2448,2437,2382,2430
20251007_214601,2150,2297,2269,2226,2260,2339
20251007_214601,2566,2452,2437,2385,2419,2445
20251007_214601,2703,2289,2276,2256,2301,2308
20251007_214601,2184,2266,2256,2277,2323,2268
20251007_214601,2018,2372,2386,2388,2401,2432
20251007_214601,2290,2438,2270,2296,2345,2368
20251007_214601,2614,2300,2288,2300,2297,2298
20251007_214601,2516,2314,2453,2427,2382,2394
20251007_214601,2125,2452,2451,2478,2450,2377
20251007_214601,2022,2472,2420,2440,2450,2490
20251007_214601,2500,2268,2236,2212,2264,2326
20251007_214601,2678,2244,2221,2230,2250,2268
20251007_214601,2347,2287,2274,2260,2340,2299
20251007_214601,2055,2274,2390,2362,2304,2310
20251007_214601,2230,2357,2377,2385,2265,2302
20251007_214601,2578,2294,2294,2314,2385,2241
20251007_214601,2646,2325,2301,2257,2370,2384
20251007_214601,2166,2257,2261,2274,2332,2376
20251007_214601,1963,2234,2210,2212,2275,2268
20251007_214601,2334,2237,2231,2221,2292,2314
20251007_214601,2639,2464,2424,2441,2437,2486
20251007_214601,2464,2428,2433,2434,2353,2385
20251007_214601,2108,2420,2399,2414,2416,2425
20251007_214601,2024,2288,2279,2239,2255,2284
20251007_214601,2565,2420,2439,2455,2325,2357
20251007_214601,2708,2333,2282,2236,2371,2394
20251007_214601,2295,2376,2400,2416,2291,2315
20251007_214601,2052,2376,2387,2408,2405,2309
20251007_214601,2230,2273,2411,2376,2312,2330
20251007_214601,2602,2277,2257,2222,2257,2281
20251007_214601,2592,2373,2241,2239,2292,2312
20251007_214601,2130,2356,2294,2268,2388,2403
20251007_214601,1951,2346,2443,2434,2385,2399
20251007_214601,2404,2284,2267,2232,2266,2342
20251007_214601,2611,2288,2432,2400,2330,2349
20251007_214601,2386,2272,2249,2192,2329,2339
20251007_214601,2110,2288,2293,2317,2261,2263
20251007_214601,2130,2464,2448,2464,2417,2390
20251007_214601,2518,2372,2475,2456,2403,2440
20251007_214601,2716,2260,2264,2264,2273,2291
20251007_214601,2187,2452,2451,2444,2400,2420
20251007_214601,2008,2264,2272,2271,2268,2271
20251007_214601,2284,2366,2248,2228,2277,2305
20251007_214601,2627,2428,2438,2440,2336,2367
20251007_214601,2534,2452,2269,2298,2358,2387
20251007_214601,2103,2292,2407,2367,2326,2344
20251007_214601,1991,2356,2352,2393,2265,2296
20251007_214601,2506,2417,2454,2456,2441,2450
20251007_214601,2679,2345,2328,2248,2256,2277
20251007_214601,2369,2456,2422,2376,2443,2477
20251007_214601,2085,2250,2237,2239,2298,2262
20251007_214601,2158,2320,2330,2364,2265,2266
20251007_214601,2590,2444,2445,2448,2415,2403
20251007_214601,2682,2428,2265,2266,2322,2360
20251007_214601,2175,2456,2433,2441,2395,2415
20251007_214601,1986,2412,2484,2490,2449,2469
