Delta,Theta,Alpha,Beta,Gamma
7.648857913,4.991562881,3.977971575,5.554287773,0.664974856
1.304503246,3.082549156,3.36859297,5.072220477,0.615750493
13.15555921,5.020881435,4.191822252,5.497729376,0.726761318
10.21685241,5.001063808,5.692753158,5.812326857,0.74744783
14.65543243,8.433391968,6.078580162,7.366242972,0.968381827
4.475439686,4.878039579,5.887982181,5.933327322,0.625161978
4.945831389,6.313496589,5.320123044,6.19865106,0.854700516
5.938858232,6.748167913,4.730827327,5.87344333,0.7500312
5.258491922,4.634954461,4.664295428,5.624179501,0.641378776
3.613805714,4.004663499,4.31839663,4.891234232,0.605564785
6.419504941,6.040184307,5.598638124,5.906866,0.584791593
22.04932443,7.164774145,4.470563406,6.288414298,0.839396266
14.17946658,5.689799367,4.856781085,5.919837147,0.693230882
4.372489567,4.434169645,5.47642553,6.336604477,1.152796372
2.887788702,4.591953133,4.150137875,5.523807041,0.608168209
8.908562266,6.758857346,5.496192127,6.640717691,0.810638081
10.09938556,6.379935385,5.275797912,7.454603744,1.245738814
10.26190376,6.52777885,6.197160748,6.982713183,1.070985754
3.903634562,5.465148722,4.559911348,5.90611856,0.650407349
8.740410445,4.415726062,3.297944761,5.688774903,0.900724025
4.672162298,4.913595117,4.572968098,6.092591109,0.628775307
3.66882653,5.70896614,4.137093389,6.580041946,1.33872477
2.621163596,3.629939533,3.616047177,5.444648385,0.700769061
86.59642028,374.3175499,57.88994299,31.93491002,11.47568611
81.25309315,291.6059072,52.12023219,30.14694173,8.29022989
253.7482015,1095.182841,136.7610154,72.71269363,38.58960625
100.5340884,393.126259,61.32931386,51.83450976,27.72734008
48.12004231,155.1728353,36.29506914,29.20265333,9.025079698
227.8561867,1078.465701,99.20261245,34.97470855,16.06333846
196.4148504,973.6612577,69.19332214,35.42534892,11.58661903
48.56629912,215.8616083,41.25726579,32.94219241,12.18881882
62.2972202,260.6507529,44.88738836,30.56516872,13.80647513
614.5992049,3204.845806,203.9837059,63.55287301,24.05868699
260.6192212,949.6995053,146.0279264,54.83035377,13.40974472
175.3047898,689.3257414,71.78511289,41.87514744,13.78011746
286.9512745,1675.603313,134.4004293,35.14244257,8.002844221
30.89126121,119.5640942,35.00587175,28.66109612,15.38027529
408.5448116,1732.330842,108.0416343,61.36665152,33.03178082
463.2064983,2063.365209,148.4428388,41.33180847,11.89389796
682.8802286,3369.094006,263.4707687,54.12738057,20.78184247
628.4692936,2906.817428,216.7616896,54.68544533,15.03447993
274.2626063,1212.320941,84.48837979,26.33160505,11.20292876
529.6402178,2443.5962,155.5595204,64.61948573,30.34466722
