File Name,Window,Spectral Centroid,Centroid Spread,Centroid Skewness,Spectral Entropy,Spectral Flux,Fundamental Tone Difference
14_Jason Mraz - I39;m Yours (Official Video).WAV,1,3068.8754197621515,339.38490505264394,-0.46640099877127505,10.004818,2343.1748,1.0823077745967216
3_Blame It on the Boogie (Official Audio).WAV,1,4619.015095473397,56.467480249707556,0.2238158182439082,10.444127,3274.5723,1.1716043768151485
8_Fuck You - Lily Allen ｜ Lyrics Video.WAV,1,3771.2534539289004,74.475797775551,0.37090798482897697,9.265873,2295.612,1.750307303555743
25_A Fine Frenzy - Almost Lover Official Video.WAV,1,2222.530234097493,75.92978746453161,-0.24208202360998166,9.665302,560.86505,0.7258729365539696
19_Manu Chao - Me gustas tu-YTConverter.WAV,1,2156.816105110983,27.843136078426713,-0.25079947560909716,9.934848,5475.382,1.4784322075870777
24_James Blunt - Goodbye My Lover.WAV,1,2818.354508696178,396.3051032103568,-0.5457501913405319,9.826758,4614.775,1.4960984776081467
11_Say Hey (I Love You) - Michael Franti & Spearhe.WAV,1,3140.825338292825,61.98706703049542,-0.27094605084692913,9.571956,6124.597,1.4400863445782668
39_Dark Funeral - My Funeral.WAV,1,3593.2343277093273,69.37697416420495,-0.046862236318927504,10.587765,6838.407,1.789241318250809
36_Sepultura - Refuse⧸Resist [OFFICIAL VIDEO].WAV,1,2648.4793144622245,216.74715354400348,-0.7772642804304655,10.118048,2114.1328,2.37741038174771
10_Rage Against The Machine - Bombtrack (Official .WAV,1,2657.0320952995526,160.32690766903437,-1.736181733085381,9.81806,2744.8665,0.957677275384643
32_Marilyn Manson - The Beautiful People.WAV,1,3150.9315824302494,88.36054685864346,0.5858855484838442,8.381935,1483.386,2.6812935767676884
35_NAPALM DEATH Procrastination On The Empty Vesse.WAV,1,3596.172801307929,65.55423022838708,-0.020655749610175276,11.216359,7238.8955,1.7890007850677687
40_ARCH ENEMY - My Apocalypse (OFFICIAL VIDEO).WAV,1,3106.1945017163107,106.24699364452295,-1.1026150526373608,9.621722,5270.77,1.8531504614725582
38_Gorgoroth - Carving A Giant (Official Audio).WAV,1,3719.713989270453,131.08350414579377,0.06904454312455571,10.770913,4659.333,1.225937937085693
37_Cradle Of Filth： Scorched Earth Erotica.WAV,1,3063.3531958935823,245.08673426893546,1.4859144215446263,9.996865,3725.341,1.7834857220901523
12_Grand Archives - Miniature Birds.WAV,1,3056.6801867264107,77.93978864642156,0.37231285377253376,9.922743,1788.1312,1.0569453925836754
1_Emilíana Torrini - Jungle Drum (Official Video)-YTConverter.WAV,1,2645.9304045660647,91.52032194084951,-0.20847779572435685,10.745605,8163.6206,1.1078997923702163
28_Sia - Breathe Me-YTConverter.WAV,1,1818.9884118176608,149.8124305111373,0.2443952908926713,8.847981,963.59863,0.775507531154859
26_kings of convenience - weight of my words.WAV,1,1611.881367418974,229.6261106007824,-0.6261254701821234,8.417241,2496.4575,1.045943907448426
